Otu01,1666803,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae(93),unc.(66)
Otu02,262854,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas(99)
Otu03,914876,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Polynucleobacter
Otu04,550475,Actinobacteria,Actinobacteria,Actinomycetales,unc.(54),unc.(54)
Otu05,348190,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Otu06,655006,Verrucomicrobia,Spartobacteria,Spartobacteria_genera_incertae_sedis,unc.,unc.
Otu07,473731,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas(97)
Otu08,579740,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,unc.(73)
Otu09,527604,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,unc.(84)
Otu10,268037,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Sediminibacterium
Otu11,350830,Proteobacteria,Betaproteobacteria,Methylophilales(55),Methylophilaceae(55),unc.(54)
Otu12,244598,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,unc._Microbacteriaceae
Otu13,69610,Firmicutes,Bacilli,Bacillales,Bacillaceae(99),Bacillus(97)
Otu14,111357,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium(97)
Otu15,107834,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter(94)
Otu16,153851,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Cytophagaceae,Arcicella
Otu17,152356,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae(67),Methylocystis(66)
Otu18,64068,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium(54)
Otu19,120664,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae(99),Mycobacterium(99)
Otu20,208447,Actinobacteria,Actinobacteria,Actinomycetales,unc._Actinomycetales,unc.
Otu21,52145,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia(92)
Otu22,29943,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae(98),Geobacter(98)
Otu23,115646,Actinobacteria,Actinobacteria,Actinomycetales,unc.(70),unc.(70)
Otu24,112603,Proteobacteria,Gammaproteobacteria,Methylococcales(97),Methylococcaceae(97),Methylosoma(96)
Otu25,32403,Proteobacteria,Gammaproteobacteria,Chromatiales(91),Chromatiaceae(91),Thiodictyon(56)
Otu26,42412,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae(98),Herbaspirillum(83)
Otu27,109052,Proteobacteria,Betaproteobacteria,Methylophilales(93),Methylophilaceae(93),unc._Methylophilaceae(93)
Otu28,68190,Actinobacteria,Actinobacteria,Actinomycetales,unc._Micrococcineae(95),unc.(95)
Otu29,4253,Proteobacteria,Betaproteobacteria,unc.(96),unc.(96),unc.(96)
Otu30,24016,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter
Otu31,131986,Actinobacteria,Actinobacteria,Actinomycetales,unc.,unc.
Otu32,99867,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unc._Alcaligenaceae(91)
Otu33,31443,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter(93)
Otu34,88724,unc.,unc.,unc.,unc.,unc.
Otu35,31110,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
Otu36,73784,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,unc._Puniceicoccaceae
Otu37,34305,Proteobacteria,Alphaproteobacteria,Rhizobiales(91),unc.(91),unc.(91)
Otu38,8298,Proteobacteria,Betaproteobacteria,Rhodocyclales(97),Rhodocyclaceae(97),unc.
Otu39,50003,Proteobacteria,Alphaproteobacteria,unc.(95),unc.(95),unc.(95)
Otu40,52610,unc.,unc.,unc.,unc.,unc.